Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data,Задержка  uS
239,1350969650,0,29,19
240,1350995650,EE,0,9495
241,1360497650,0,29,19
242,1360523650,EE,0,9508
243,1370039400,0,29,19
244,1370065400,FE,0,9495
245,1379567400,0,29,19
246,1379593400,DC,0,2333
247,1381933900,0,0F,19
248,1381959900,84,0,41
249,1382008150,0,9,19
250,1382034150,36,0,48
251,1382089400,0,5,19
252,1382115400,92,0,48
253,1382170650,0,9,19
254,1382196650,16,0,45
255,1382249400,0,5,19
256,1382275400,66,0,48
257,1382330650,0,9,19
258,1382356650,12,0,45
259,1382409400,0,5,19
260,1382435400,7E,0,48
261,1382490650,0,9,19
262,1382516650,12,0,45
263,1382569400,0,5,19
264,1382595400,66,0,48
265,1382650650,0,9,19
266,1382676650,12,0,45
267,1382729400,0,5,19
268,1382755400,60,0,48
269,1382810650,0,9,19
270,1382836650,52,0,46
271,1382889650,0,5,19
272,1382915650,64,0,55
273,1382978400,0,9,19
274,1383004400,50,0,29
275,1383040400,0,6,18
276,1383065650,0,60,251
277,1383324400,0,2A,18
278,1383349650,0,0B,190
279,1383547400,0,9,19
280,1383573400,50,0,337
281,1383917400,0,4,18
282,1383942650,0,52,28
283,1383977900,0,4,18
284,1384003150,0,33,28
285,1384038400,0,4,18
286,1384063650,0,30,28
287,1384098900,0,4,18
288,1384124150,0,33,27
289,1384158150,0,6,18
290,1384183400,0,50,23
291,1384214150,0,4,18
292,1384239400,0,3F,22
293,1384268650,0,6,18
294,1384293900,0,60,6332
295,1390633650,0,29,19
296,1390659650,DC,0,9502
297,1400169450,0,29,19
298,1400195450,EE,0,8968
299,1409171200,0,0F,19
300,1409197200,42,0,41
301,1409245450,0,9,19
302,1409271450,1B,0,48
303,1409326700,0,5,19
304,1409352700,42,0,51
305,1409410950,0,9,19
306,1409436950,0B,0,45
307,1409489700,0,5,19
308,1409515700,33,0,51
309,1409573950,0,9,19
310,1409599950,0B,0,45
311,1409652700,0,5,19
312,1409678700,3F,0,51
313,1409736950,0,9,19
314,1409762950,0B,0,45
315,1409815700,0,5,19
