Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data,Задержка  uS
1016,3545835800,0,51,28
1017,3545871050,0,4,18
1018,3545896300,0,33,28
1019,3545931550,0,4,18
1020,3545956800,0,30,28
1021,3545992050,0,4,18
1022,3546017300,0,23,27
1023,3546051300,0,6,18
1024,3546076550,0,50,23
1025,3546107300,0,4,18
1026,3546132550,0,23,22
1027,3546161800,0,6,18
1028,3546187050,0,60,8813
1029,3555007800,0,29,19
1030,3555033800,EE,0,9506
1031,3564547550,0,29,19
1032,3564573550,EE,0,9506
1033,3574087300,0,29,19
1034,3574113300,EE,0,5158
1035,3579278300,0,0F,19
1036,3579304300,42,0,41
1037,3579352550,0,9,19
1038,3579378550,1B,0,48
1039,3579433800,0,5,19
1040,3579459800,50,0,54
1041,3579520800,0,9,19
1042,3579546800,0B,0,45
1043,3579599550,0,5,19
1044,3579625550,23,0,54
1045,3579686550,0,9,19
1046,3579712550,0B,0,45
1047,3579765300,0,5,19
1048,3579791300,23,0,54
1049,3579852300,0,9,19
1050,3579878300,0B,0,45
1051,3579931050,0,5,19
1052,3579957050,33,0,54
1053,3580018050,0,9,19
1054,3580044050,0B,0,45
1055,3580096800,0,5,19
1056,3580122800,30,0,54
1057,3580183800,0,9,19
1058,3580209800,0B,0,45
1059,3580262550,0,5,19
1060,3580288550,43,0,54
1061,3580349550,0,9,19
1062,3580375550,0B,0,45
1063,3580428300,0,5,19
1064,3580454300,30,0,54
1065,3580515300,0,9,19
1066,3580541300,0B,0,45
1067,3580594050,0,5,19
1068,3580620050,30,0,54
1069,3580681050,0,9,19
1070,3580707050,0B,0,45
1071,3580759800,0,5,19
1072,3580785800,63,0,54
1073,3580846800,0,9,19
1074,3580872800,9,0,45
1075,3580925550,0,5,19
1076,3580951550,30,0,54
1077,3581012550,0,9,19
1078,3581038550,9,0,45
1079,3581091300,0,5,19
1080,3581117300,30,0,54
1081,3581178300,0,9,19
1082,3581204300,9,0,45
1083,3581257050,0,5,19
1084,3581283050,31,0,54
1085,3581344050,0,9,19
1086,3581370050,29,0,46
1087,3581423050,0,5,19
1088,3581449050,34,0,61
1089,3581517550,0,9,19
1090,3581543550,28,0,29
1091,3581579550,0,6,18
1092,3581604800,0,60,563
1093,3582175300,0,9,19
1094,3582201300,28,0,335
1095,3582543550,0,4,18
1096,3582568800,0,51,28
1097,3582604050,0,4,18
1098,3582629300,0,33,28
1099,3582664550,0,4,18
1100,3582689800,0,30,28
1101,3582725050,0,4,18
1102,3582750300,0,23,27
1103,3582784300,0,6,18
1104,3582809550,0,50,23
1105,3582840300,0,4,18
1106,3582865550,0,23,22
1107,3582894800,0,6,18
1108,3582920050,0,60,27350
1109,3610277800,0,0F,19
1110,3610303800,42,0,41
1111,3610352050,0,9,19
1112,3610378050,1F,0,48
1113,3610433300,0,5,19
1114,3610459300,F0,0,54
1115,3610520550,0,9,19
1116,3610546550,1F,0,45
1117,3610599300,0,5,19
1118,3610625300,63,0,54
1119,3610686550,0,9,19
1120,3610712550,1F,0,45
1121,3610765300,0,5,19
1122,3610791300,67,0,54
1123,3610852550,0,9,19
1124,3610878550,1F,0,45
1125,3610931300,0,5,19
1126,3610957300,77,0,54
1127,3611018550,0,9,19
1128,3611044550,1F,0,45
1129,3611097300,0,5,19
1130,3611123300,70,0,54
1131,3611184550,0,9,19
1132,3611210550,1F,0,45
1133,3611263300,0,5,19
1134,3611289300,C6,0,54
1135,3611350550,0,9,19
1136,3611376550,1F,0,45
1137,3611429300,0,5,19
1138,3611455300,70,0,54
1139,3611516550,0,9,19
1140,3611542550,1F,0,45
1141,3611595300,0,5,19
1142,3611621300,70,0,54
1143,3611682550,0,9,19
1144,3611708550,1F,0,45
1145,3611761300,0,5,19
1146,3611787300,70,0,54
1147,3611848550,0,9,19
1148,3611874550,1B,0,45
1149,3611927300,0,5,19
1150,3611953300,73,0,54
1151,3612014550,0,9,19
1152,3612040550,1B,0,45
1153,3612093300,0,5,19
1154,3612119300,70,0,54
1155,3612180550,0,9,19
1156,3612206550,1B,0,45
1157,3612259300,0,5,19
1158,3612285300,CC,0,54
1159,3612346550,0,9,19
1160,3612372550,7B,0,46
1161,3612425550,0,5,19
1162,3612451550,70,0,61
1163,3612520300,0,9,19
1164,3612546300,78,0,29
1165,3612582300,0,6,18
1166,3612607550,0,60,4995
1167,3617610300,0,29,19
1168,3617636300,DC,0,549
1169,3618192300,0,9,19
1170,3618218300,D0,0,350
1171,3618576050,0,4,18
1172,3618601300,0,51,28
1173,3618636550,0,4,18
1174,3618661800,0,33,28
1175,3618697050,0,4,18
1176,3618722300,0,30,28
1177,3618757550,0,4,18
1178,3618782800,0,23,27
1179,3618816800,0,6,18
1180,3618842050,0,50,23
1181,3618872800,0,4,18
1182,3618898050,0,23,22
1183,3618927300,0,6,18
1184,3618952550,0,60,8713
1185,3627672800,0,29,19
1186,3627698800,DC,0,9552
1187,3637258050,0,29,19
1188,3637284050,DC,0,9549
1189,3646840850,0,29,19
1190,3646866850,EE,0,3407
1191,3650281100,0,0F,19
1192,3650307100,42,0,41
1193,3650355350,0,9,19
1194,3650381350,1B,0,48
1195,3650436600,0,5,19
1196,3650462600,50,0,56
1197,3650526350,0,9,19
1198,3650552350,0B,0,45
1199,3650605100,0,5,19
1200,3650631100,23,0,56
1201,3650694850,0,9,19
1202,3650720850,0B,0,45
1203,3650773600,0,5,19
1204,3650799600,23,0,56
1205,3650863350,0,9,19
1206,3650889350,0B,0,45
1207,3650942100,0,5,19
1208,3650968100,33,0,56
1209,3651031850,0,9,19
1210,3651057850,0B,0,45
1211,3651110600,0,5,19
1212,3651136600,30,0,56
1213,3651200350,0,9,19
1214,3651226350,0B,0,45
1215,3651279100,0,5,19
1216,3651305100,45,0,56
1217,3651368850,0,9,19
1218,3651394850,0B,0,45
1219,3651447600,0,5,19
1220,3651473600,49,0,56
1221,3651537350,0,9,19
1222,3651563350,0B,0,45
1223,3651616100,0,5,19
1224,3651642100,6E,0,56
1225,3651705850,0,9,19
1226,3651731850,0B,0,45
1227,3651784600,0,5,19
1228,3651810600,64,0,56
1229,3651874350,0,9,19
1230,3651900350,9,0,45
1231,3651953100,0,5,19
1232,3651979100,75,0,56
1233,3652042850,0,9,19
1234,3652068850,9,0,45
1235,3652121600,0,5,19
1236,3652147600,44,0,56
1237,3652211350,0,9,19
1238,3652237350,9,0,45
1239,3652290100,0,5,19
1240,3652316100,2B,0,56
1241,3652379850,0,9,19
1242,3652405850,29,0,46
1243,3652458850,0,5,19
1244,3652484850,2B,0,64
1245,3652556600,0,9,19
1246,3652582600,28,0,29
1247,3652618600,0,6,18
1248,3652643850,0,60,602
1249,3653253100,0,9,19
1250,3653279100,28,0,349
1251,3653635100,0,4,18
1252,3653660350,0,51,28
1253,3653695600,0,4,18
1254,3653720850,0,33,28
1255,3653756100,0,4,18
1256,3653781350,0,30,28
1257,3653816600,0,4,18
1258,3653841850,0,23,27
1259,3653875850,0,6,18
1260,3653901100,0,50,23
1261,3653931850,0,4,18
1262,3653957100,0,23,22
1263,3653986350,0,6,18
1264,3654011600,0,60,77646
1265,3731665350,0,29,19
1266,3731691350,EE,0,848
1267,3732546600,0,9,19
1268,3732572600,68,0,336
1269,3732916350,0,4,18
1270,3732941600,0,56,28
1271,3732976850,0,4,18
1272,3733002100,0,33,28
1273,3733037350,0,4,18
1274,3733062600,0,30,28
1275,3733097850,0,4,18
1276,3733123100,0,23,28
1277,3733158350,0,4,18
1278,3733183600,0,23,28
1279,3733218850,0,4,18
1280,3733244100,0,4B,28
1281,3733279350,0,4,18
1282,3733304600,0,30,28
1283,3733339850,0,4,18
1284,3733365100,0,30,28
1285,3733400350,0,4,18
1286,3733425600,0,33,28
1287,3733460850,0,4,18
1288,3733486100,0,30,28
1289,3733521350,0,4,18
1290,3733546600,0,30,28
1291,3733581850,0,4,18
1292,3733607100,0,30,28
1293,3733642350,0,4,18
1294,3733667600,0,3A,28
1295,3733702850,0,4,18
1296,3733728100,0,30,28
1297,3733763350,0,4,18
1298,3733788600,0,30,27
1299,3733822600,0,6,18
1300,3733847850,0,50,23
1301,3733878600,0,4,18
1302,3733903850,0,30,22
1303,3733933100,0,6,18
1304,3733958350,0,60,34207
1305,3768172650,0,0F,19
1306,3768198650,42,0,41
1307,3768246900,0,9,19
1308,3768272900,1B,0,48
1309,3768328150,0,5,19
1310,3768354150,51,0,48
1311,3768409400,0,9,19
1312,3768435400,9,0,45
1313,3768488150,0,5,19
1314,3768514150,23,0,48
1315,3768569400,0,9,19
1316,3768595400,9,0,45
1317,3768648150,0,5,19
1318,3768674150,23,0,48
1319,3768729400,0,9,19
1320,3768755400,9,0,45
1321,3768808150,0,5,19
1322,3768834150,33,0,48
1323,3768889400,0,9,19
1324,3768915400,29,0,46
1325,3768968400,0,5,19
1326,3768994400,30,0,55
1327,3769057150,0,9,19
1328,3769083150,28,0,29
1329,3769119150,0,6,18
1330,3769144400,0,60,711
1331,3769862900,0,9,19
1332,3769888900,28,0,334
1333,3770230650,0,4,18
1334,3770255900,0,56,28
1335,3770291150,0,4,18
1336,3770316400,0,33,28
1337,3770351650,0,4,18
1338,3770376900,0,30,28
1339,3770412150,0,4,18
1340,3770437400,0,23,28
1341,3770472650,0,4,18
1342,3770497900,0,23,28
1343,3770533150,0,4,18
1344,3770558400,0,54,28
1345,3770593650,0,4,18
1346,3770618900,0,47,28
1347,3770654150,0,4,18
1348,3770679400,0,53,28
1349,3770714650,0,4,18
1350,3770739900,0,30,28
1351,3770775150,0,4,18
1352,3770800400,0,33,28
1353,3770835650,0,4,18
1354,3770860900,0,48,28
1355,3770896150,0,4,18
1356,3770921400,0,30,27
1357,3770955400,0,6,18
1358,3770980650,0,50,23
1359,3771011400,0,4,18
1360,3771036650,0,31,22
1361,3771065900,0,6,18
1362,3771091150,0,60,27574
1363,3798672150,0,0F,19
1364,3798698150,42,0,41
1365,3798746400,0,9,19
1366,3798772400,1B,0,48
1367,3798827650,0,5,19
1368,3798853650,51,0,51
1369,3798911900,0,9,19
1370,3798937900,9,0,45
1371,3798990650,0,5,19
1372,3799016650,23,0,51
1373,3799074900,0,9,19
1374,3799100900,9,0,45
1375,3799153650,0,5,19
1376,3799179650,23,0,51
1377,3799237900,0,9,19
1378,3799263900,9,0,45
1379,3799316650,0,5,19
1380,3799342650,33,0,51
1381,3799400900,0,9,19
1382,3799426900,29,0,46
1383,3799479900,0,5,19
1384,3799505900,30,0,58
1385,3799571650,0,9,19
1386,3799597650,28,0,29
1387,3799633650,0,6,18
1388,3799658900,0,60,325
1389,3799991400,0,9,19
1390,3800017400,28,0,334
1391,3800359150,0,4,18
1392,3800384400,0,56,28
1393,3800419650,0,4,18
1394,3800444900,0,33,28
1395,3800480150,0,4,18
1396,3800505400,0,30,28
1397,3800540650,0,4,18
1398,3800565900,0,23,28
1399,3800601150,0,4,18
1400,3800626400,0,23,28
1401,3800661650,0,4,18
1402,3800686900,0,48,27
1403,3800720900,0,6,18
1404,3800746150,0,50,23
1405,3800776900,0,4,18
1406,3800802150,0,31,22
1407,3800831400,0,6,18
1408,3800856650,0,60,28309
1409,3829173150,0,0F,19
1410,3829199150,42,0,41
1411,3829247400,0,9,19
1412,3829273400,1B,0,48
1413,3829328650,0,5,19
1414,3829354650,51,0,54
1415,3829415650,0,9,19
1416,3829441650,9,0,45
1417,3829494400,0,5,19
1418,3829520400,23,0,54
1419,3829581400,0,9,19
1420,3829607400,9,0,45
1421,3829660150,0,5,19
1422,3829686150,23,0,54
1423,3829747150,0,9,19
1424,3829773150,9,0,45
1425,3829825900,0,5,19
1426,3829851900,33,0,54
1427,3829912900,0,9,19
1428,3829938900,29,0,46
1429,3829991900,0,5,19
1430,3830017900,30,0,61
1431,3830086400,0,9,19
1432,3830112400,28,0,29
1433,3830148400,0,6,18
1434,3830173650,0,60,425
1435,3830605900,0,9,19
1436,3830631900,28,0,336
1437,3830975400,0,4,18
1438,3831000650,0,56,28
1439,3831035900,0,4,18
1440,3831061150,0,33,28
1441,3831096400,0,4,18
1442,3831121650,0,30,28
1443,3831156900,0,4,18
1444,3831182150,0,23,28
1445,3831217400,0,4,18
1446,3831242650,0,23,28
1447,3831277900,0,4,18
1448,3831303150,0,68,28
1449,3831338400,0,4,18
1450,3831363650,0,36,28
1451,3831398900,0,4,18
1452,3831424150,0,30,28
1453,3831459400,0,4,18
1454,3831484650,0,30,28
1455,3831519900,0,4,18
1456,3831545150,0,30,28
1457,3831580400,0,4,18
1458,3831605650,0,30,28
1459,3831640900,0,4,18
1460,3831666150,0,30,28
1461,3831701400,0,4,18
1462,3831726650,0,30,28
1463,3831761900,0,4,18
1464,3831787150,0,30,28
1465,3831822400,0,4,18
1466,3831847650,0,30,28
1467,3831882900,0,4,18
1468,3831908150,0,30,28
1469,3831943400,0,4,18
1470,3831968650,0,30,28
1471,3832003900,0,4,18
1472,3832029150,0,30,27
1473,3832063150,0,6,18
1474,3832088400,0,50,23
1475,3832119150,0,4,18
1476,3832144400,0,30,22
1477,3832173650,0,6,18
1478,3832198900,0,60,31469
1479,3863674900,0,0F,19
1480,3863700900,46,0,41
1481,3863749150,0,9,19
1482,3863775150,3B,0,48
1483,3863830400,0,5,19
1484,3863856400,F3,0,54
1485,3863917650,0,9,19
1486,3863943650,1B,0,45
1487,3863996400,0,5,19
1488,3864022400,67,0,54
1489,3864083650,0,9,19
1490,3864109650,1B,0,45
1491,3864162400,0,5,19
1492,3864188400,67,0,54
1493,3864249650,0,9,19
1494,3864275650,1B,0,45
1495,3864328400,0,5,19
1496,3864354400,77,0,54
1497,3864415650,0,9,19
1498,3864441650,7B,0,46
1499,3864494650,0,5,19
1500,3864520650,70,0,61
1501,3864589400,0,9,19
1502,3864615400,78,0,29
1503,3864651400,0,6,18
1504,3864676650,0,60,2385
1505,3867069400,0,9,19
1506,3867095400,F8,0,334
1507,3867437150,0,4,18
1508,3867462400,0,50,28
1509,3867497650,0,4,18
1510,3867522900,0,33,28
1511,3867558150,0,4,18
1512,3867583400,0,30,28
1513,3867618650,0,4,18
1514,3867643900,0,23,28
1515,3867679150,0,4,18
1516,3867704400,0,23,27
1517,3867738400,0,6,18
1518,3867763650,0,50,23
1519,3867794400,0,4,18
1520,3867819650,0,51,22
1521,3867848900,0,6,18
1522,3867874150,0,60,109
1523,3867990650,0,29,19
1524,3868016650,FE,0,10133
1525,3878157400,0,29,19
1526,3878183400,DC,0,9851
1527,3888042150,0,29,19
1528,3888068150,DC,0,6098
1529,3894173200,0,0F,19
1530,3894199200,42,0,41
1531,3894247450,0,9,19
1532,3894273450,1B,0,48
1533,3894328700,0,5,19
1534,3894354700,51,0,56
1535,3894418450,0,9,19
1536,3894444450,9,0,45
1537,3894497200,0,5,19
1538,3894523200,23,0,56
1539,3894586950,0,9,19
1540,3894612950,9,0,45
1541,3894665700,0,5,19
1542,3894691700,23,0,56
1543,3894755450,0,9,19
1544,3894781450,9,0,45
1545,3894834200,0,5,19
1546,3894860200,33,0,56
1547,3894923950,0,9,19
1548,3894949950,29,0,46
1549,3895002950,0,5,19
1550,3895028950,30,0,64
1551,3895100700,0,9,19
1552,3895126700,28,0,29
1553,3895162700,0,6,18
1554,3895187950,0,60,4059
1555,3899254200,0,29,19
1556,3899280200,EE,0,9761
1557,3909048700,0,29,19
1558,3909074700,EE,0,9779
1559,3918860700,0,29,19
1560,3918886700,EE,0,9761
1561,3928655200,0,29,19
1562,3928681200,EE,0,9761
1563,3938449700,0,29,19
1564,3938475700,EE,0,9837
1565,3948319950,0,29,19
1566,3948345950,EE,0,9722
1567,3958074950,0,29,19
1568,3958100950,EE,0,9736
1569,3967844700,0,29,19
1570,3967870700,EE,0,9722
1571,3977599700,0,29,19
1572,3977625700,EE,0,9722
1573,3987354700,0,29,19
1574,3987380700,EE,0,9819
1575,3997207450,0,29,19
1576,3997233450,DC,0,9722
1577,4006962450,0,29,19
1578,4006988450,DC,0,9736
1579,4016732200,0,29,19
1580,4016758200,EC,0,9722
1581,4026487250,0,29,19
1582,4026513250,EE,0,9722
1583,4036242250,0,29,19
1584,4036268250,EE,0,9819
1585,4046095000,0,29,19
1586,4046121000,EE,0,9722
1587,4055850000,0,29,19
1588,4055876000,EE,0,9751
1589,4065634500,0,29,19
1590,4065660500,EE,0,9722
1591,4075389500,0,29,19
1592,4075415500,EE,0,9722
1593,4085144500,0,29,19
1594,4085170500,EE,0,9820
1595,4094997750,0,29,19
1596,4095023750,EE,0,9722
1597,4104752750,0,29,19
1598,4104778750,EE,0,9751
1599,4114537250,0,29,19
1600,4114563250,FE,0,9722
1601,4124292250,0,29,19
1602,4124318250,DC,0,9725
1603,4134050250,0,29,19
1604,4134076250,DC,0,9822
1605,4143905550,0,29,19
1606,4143931550,EE,0,9725
1607,4153663550,0,29,19
1608,4153689550,EE,0,9753
1609,4163450050,0,29,19
1610,4163476050,EE,0,9725
1611,4173208050,0,29,19
1612,4173234050,EE,0,9725
1613,4182966050,0,29,19
1614,4182992050,EE,0,9822
1615,4192821300,0,29,19
1616,4192847300,EE,0,9725
1617,4202579300,0,29,19
1618,4202605300,EE,0,9753
1619,4212365800,0,29,19
1620,4212391800,EE,0,9725
1621,4222123800,0,29,19
1622,4222149800,EE,0,9725
1623,4231881800,0,29,19
1624,4231907800,EE,0,9753
1625,4241668300,0,29,19
1626,4241694300,FE,0,9808
1627,4251509800,0,29,19
1628,4251535800,DC,0,9753
1629,4261296300,0,29,19
1630,4261322300,DC,0,9725
1631,4271054350,0,29,19
1632,4271080350,EE,0,9725
1633,4280812350,0,29,19
1634,4280838350,EE,0,9738
1635,4290584100,0,29,19
1636,4290610100,EE,0,9808
1637,4300425100,0,29,19
1638,4300451100,EE,0,9738
1639,4310196850,0,29,19
1640,4310222850,EE,0,9725
1641,4319954850,0,29,19
1642,4319980850,EE,0,9725
1643,4329712850,0,29,19
1644,4329738850,EE,0,9753
1645,4339499350,0,29,19
1646,4339525350,EE,0,9830
1647,4349362850,0,29,19
1648,4349388850,EE,0,9753
1649,4359149350,0,29,19
1650,4359175350,EE,0,9725
1651,4368907350,0,29,19
1652,4368933350,FE,0,9725
1653,4378665350,0,29,19
1654,4378691350,DC,0,9738
1655,4388437100,0,29,19
1656,4388463100,DC,0,9816
1657,4398286150,0,29,19
1658,4398312150,EE,0,9738
1659,4408057900,0,29,19
1660,4408083900,EE,0,9725
1661,4417815900,0,29,19
1662,4417841900,EE,0,9725
1663,4427573900,0,29,19
1664,4427599900,EE,0,9753
1665,4437360400,0,29,19
1666,4437386400,EE,0,9808
1667,4447201900,0,29,19
1668,4447227900,EE,0,9753
1669,4456988400,0,29,19
1670,4457014400,EE,0,9725
1671,4466746400,0,29,19
1672,4466772400,EE,0,9725
1673,4476504400,0,29,19
1674,4476530400,EE,0,9738
1675,4486276150,0,29,19
1676,4486302150,EE,0,9808
1677,4496117650,0,29,19
1678,4496143650,DC,0,9753
1679,4505904150,0,29,19
1680,4505930150,DC,0,9725
1681,4515662150,0,29,19
1682,4515688150,DC,0,9725
1683,4525420200,0,29,19
1684,4525446200,EE,0,9738
1685,4535191950,0,29,19
1686,4535217950,EE,0,9808
1687,4545033450,0,29,19
1688,4545059450,EE,0,9753
1689,4554819950,0,29,19
1690,4554845950,EE,0,9725
1691,4564577950,0,29,19
1692,4564603950,EE,0,9725
1693,4574335950,0,29,19
1694,4574361950,EE,0,9753
1695,4584122450,0,29,19
1696,4584148450,EE,0,9808
1697,4593963950,0,29,19
1698,4593989950,EE,0,9753
1699,4603750450,0,29,19
1700,4603776450,EE,0,9725
1701,4613508450,0,29,19
1702,4613534450,EE,0,9753
1703,4623294950,0,29,19
1704,4623320950,DC,0,9725
1705,4633052950,0,29,19
1706,4633078950,DC,0,9808
1707,4642894450,0,29,19
1708,4642920450,DC,0,9738
1709,4652666250,0,29,19
1710,4652692250,EE,0,9725
1711,4662424250,0,29,19
1712,4662450250,EE,0,9738
1713,4672196000,0,29,19
1714,4672222000,EE,0,9725
1715,4681954000,0,29,19
1716,4681980000,EE,0,9725
1717,4691712000,0,29,19
1718,4691738000,EE,0,9822
1719,4701567250,0,29,19
1720,4701593250,EE,0,9725
1721,4711325250,0,29,19
1722,4711351250,EE,0,9725
1723,4721083250,0,29,19
1724,4721109250,EE,0,9753
1725,4730869750,0,29,19
1726,4730895750,EE,0,9725
1727,4740627750,0,29,19
1728,4740653750,EE,0,9822
1729,4750483000,0,29,19
1730,4750509000,DC,0,9725
1731,4760241000,0,29,19
1732,4760267000,DC,0,9725
1733,4769999000,0,29,19
1734,4770025000,DC,0,9738
1735,4779770800,0,29,19
1736,4779796800,EE,0,9725
1737,4789528800,0,29,19
1738,4789554800,EE,0,9822
1739,4799384050,0,29,19
1740,4799410050,EE,0,9725
1741,4809142050,0,29,19
1742,4809168050,EE,0,9725
1743,4818900050,0,29,19
1744,4818926050,EE,0,9753
1745,4828686550,0,29,19
1746,4828712550,EE,0,9725
1747,4838444550,0,29,19
1748,4838470550,EE,0,10077
1749,4848555300,0,29,19
1750,4848581300,EE,0,9725
1751,4858313300,0,29,19
1752,4858339300,EE,0,9738
1753,4868085050,0,29,19
1754,4868111050,EE,0,9725
1755,4877843050,0,29,19
1756,4877869050,DC,0,9725
1757,4887601050,0,29,19
1758,4887627050,DC,0,9821
1759,4897455800,0,29,19
1760,4897481800,CC,0,9725
1761,4907213850,0,29,19
1762,4907239850,EE,0,9753
1763,4917000350,0,29,19
1764,4917026350,EE,0,9725
1765,4926758350,0,29,19
1766,4926784350,EE,0,9725
1767,4936516350,0,29,19
1768,4936542350,EE,0,9821
1769,4946371100,0,29,19
1770,4946397100,EE,0,9725
1771,4956129100,0,29,19
1772,4956155100,EE,0,9753
1773,4965915600,0,29,19
1774,4965941600,EE,0,9725
1775,4975673600,0,29,19
1776,4975699600,EE,0,9725
1777,4985431600,0,29,19
1778,4985457600,EE,0,9821
1779,4995286350,0,29,19
1780,4995312350,EE,0,9725
1781,5005044350,0,29,19
1782,5005070350,DC,0,9738
1783,5014816100,0,29,19
1784,5014842100,DC,0,9725
1785,5024574100,0,29,19
1786,5024600100,EC,0,9725
1787,5034332150,0,29,19
1788,5034358150,EE,0,9821
1789,5044186900,0,29,19
1790,5044212900,EE,0,9725
1791,5053944900,0,29,19
1792,5053970900,EE,0,9725
1793,5063702900,0,29,19
1794,5063728900,EE,0,9753
1795,5073489400,0,29,19
1796,5073515400,EE,0,9725
1797,5083247400,0,29,19
1798,5083273400,EE,0,9822
1799,5093102650,0,29,19
1800,5093128650,EE,0,9725
1801,5102860650,0,29,19
1802,5102886650,EE,0,9725
1803,5112618650,0,29,19
1804,5112644650,EE,0,9738
1805,5122390400,0,29,19
1806,5122416400,EE,0,9725
1807,5132148400,0,29,19
1808,5132174400,DC,0,9738
1809,5141920150,0,29,19
1810,5141946150,DC,0,9808
1811,5151761650,0,29,19
1812,5151787650,EE,0,9725
1813,5161519700,0,29,19
1814,5161545700,EE,0,9753
1815,5171306200,0,29,19
1816,5171332200,EE,0,9725
1817,5181064200,0,29,19
1818,5181090200,EE,0,9753
1819,5190850700,0,29,19
1820,5190876700,EE,0,9808
1821,5200692200,0,29,19
1822,5200718200,EE,0,9725
1823,5210450200,0,29,19
1824,5210476200,EE,0,9753
1825,5220236700,0,29,19
1826,5220262700,EE,0,9725
1827,5229994700,0,29,19
1828,5230020700,EE,0,9753
1829,5239781200,0,29,19
1830,5239807200,EE,0,9808
1831,5249622700,0,29,19
1832,5249648700,EE,0,9753
1833,5259409200,0,29,19
1834,5259435200,DC,0,9725
1835,5269167200,0,29,19
1836,5269193200,DC,0,9725
1837,5278925200,0,29,19
1838,5278951250,EE,0,9753
1839,5288711750,0,29,19
1840,5288737750,EE,0,9808
1841,5298552750,0,29,19
1842,5298578750,EE,0,9753
1843,5308339250,0,29,19
1844,5308365250,EE,0,9725
1845,5318097250,0,29,19
1846,5318123250,EE,0,9725
1847,5327855250,0,29,19
1848,5327881250,EE,0,9738
1849,5337627000,0,29,19
1850,5337653000,EE,0,5803
1851,5343463500,0,9,19
1852,5343489500,68,0,335
1853,5343831500,0,4,18
1854,5343856750,0,41,28
1855,5343892000,0,4,18
1856,5343917250,0,33,28
1857,5343952500,0,4,18
1858,5343977750,0,30,28
1859,5344013000,0,4,18
1860,5344038250,0,23,28
1861,5344073500,0,4,18
1862,5344098750,0,23,27
1863,5344132750,0,6,18
1864,5344158000,0,50,23
1865,5344188750,0,4,18
1866,5344214000,0,30,22
1867,5344243250,0,6,18
1868,5344268500,0,60,3368
1869,5347643750,0,29,19
1870,5347669750,EE,0,9725
1871,5357401750,0,29,19
1872,5357427750,EE,0,9738
1873,5367173500,0,29,19
1874,5367199500,EE,0,9725
1875,5376931500,0,29,19
1876,5376957500,FE,0,9738
1877,5386703250,0,29,19
1878,5386729250,DC,0,9816
1879,5396552250,0,29,19
1880,5396578250,DC,0,9725
1881,5406310250,0,29,19
1882,5406336250,EE,0,9753
1883,5416096800,0,29,19
1884,5416122800,EE,0,9725
1885,5425854800,0,29,19
1886,5425880800,EE,0,9753
1887,5435641300,0,29,19
1888,5435667300,EE,0,9808
1889,5445482800,0,29,19
1890,5445508800,EE,0,9725
1891,5455240800,0,29,19
1892,5455266800,EE,0,9738
1893,5465012550,0,29,19
1894,5465038550,EE,0,9725
1895,5474770550,0,29,19
1896,5474796550,EE,0,9738
1897,5484542300,0,29,19
1898,5484568300,EE,0,9808
1899,5494383800,0,29,19
1900,5494409800,EE,0,9725
1901,5504141800,0,29,19
1902,5504167800,FE,0,9753
1903,5513928300,0,29,19
1904,5513954300,DC,0,9725
1905,5523686300,0,29,19
1906,5523712300,DC,0,9753
1907,5533472850,0,29,18
1908,5533498800,EE,0,9808
1909,5543314350,0,29,19
1910,5543340350,EE,0,9725
1911,5553072350,0,29,19
1912,5553098350,EE,0,9753
1913,5562858850,0,29,19
1914,5562884850,EE,0,9725
1915,5572616850,0,29,19
1916,5572642850,EE,0,9753
1917,5582403350,0,29,19
1918,5582429350,EE,0,9725
1919,5592161350,0,29,19
1920,5592187350,EE,0,9822
1921,5602016600,0,29,19
1922,5602042600,EE,0,9725
1923,5611774600,0,29,19
1924,5611800600,EE,0,9725
1925,5621532600,0,29,19
1926,5621558600,EE,0,9738
1927,5631304350,0,29,19
1928,5631330350,FE,0,9725
1929,5641062350,0,29,19
1930,5641088350,DC,0,9808
1931,5650903850,0,29,19
1932,5650929850,DC,0,9738
1933,5660675600,0,29,19
1934,5660701600,EE,0,9725
1935,5670433650,0,29,19
1936,5670459650,EE,0,9738
1937,5680205400,0,29,19
1938,5680231400,EE,0,9725
1939,5689963400,0,29,19
1940,5689989400,EE,0,9808
1941,5699804900,0,29,19
1942,5699830900,EE,0,9753
1943,5709591400,0,29,19
1944,5709617400,EE,0,9725
1945,5719349400,0,29,19
1946,5719375400,EE,0,9753
1947,5729135900,0,29,19
1948,5729161900,EE,0,9725
1949,5738893900,0,29,19
1950,5738919900,EE,0,9808
1951,5748735400,0,29,19
1952,5748761400,EE,0,9738
1953,5758507150,0,29,19
1954,5758533150,FE,0,9725
1955,5768265150,0,29,19
1956,5768291150,DC,0,9753
1957,5778051650,0,29,19
1958,5778077650,DC,0,9725
1959,5787809650,0,29,19
1960,5787835650,EE,0,9808
1961,5797651200,0,29,19
1962,5797677200,EE,0,84
1963,5797768200,0,0F,19
1964,5797794200,42,0,41
1965,5797842450,0,9,19
1966,5797868450,1B,0,48
1967,5797923700,0,5,19
1968,5797949700,48,0,48
1969,5798004950,0,9,19
1970,5798030950,0B,0,45
1971,5798083700,0,5,19
1972,5798109700,23,0,48
1973,5798164950,0,9,19
1974,5798190950,0B,0,45
1975,5798243700,0,5,19
1976,5798269700,23,0,48
1977,5798324950,0,9,19
