Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data
1,100001600.00,00,1E
2,100026850.00,00,80
3,100182100.00,00,1E
4,100207350.00,00,00
5,100550600.00,00,1E
6,100575850.00,00,40
7,100621100.00,00,1F
8,100647100.00,40,00
9,101304600.00,00,2A
10,101329850.00,00,07
11,101359100.00,00,28
12,101384350.00,00,14
13,101413600.00,00,06
14,101438850.00,00,40
15,101468100.00,00,0A
16,101493350.00,00,8B
17,101522600.00,00,0C
18,101547850.00,00,43
19,101593100.00,00,0F
20,101619100.00,00,00
21,101648600.00,00,3C
22,101673850.00,00,00
23,101718850.00,00,3A
24,101744100.00,00,34
25,101777600.00,00,3C
26,101802850.00,00,00
27,101832350.00,00,40
28,101857600.00,00,35
29,101888100.00,00,3C
30,101913350.00,00,21
31,101969850.00,00,3C
32,101995100.00,00,00
33,102024600.00,00,40
34,102049850.00,00,30
35,102080350.00,00,3C
36,102105600.00,00,21
37,102155850.00,00,3C
38,102181100.00,00,21
39,102210350.00,00,1E
40,102250350.00,00,6E
41,102279600.00,00,1C
42,102304850.00,00,CC
43,102404600.00,00,1D
44,102430600.00,CC,00
45,102462100.00,00,1C
46,102487350.00,00,CC
47,103263100.00,00,29
48,103289100.00,EE,00
49,141116100.00,00,29
50,141142100.00,EE,00
51,191145850.00,00,29
52,191171850.00,EE,00
53,241132850.00,00,29
54,241158850.00,EE,00
55,291162600.00,00,29
56,291188600.00,EE,00
57,341213100.00,00,29
58,341239100.00,EE,00
59,391203100.00,00,29
60,391229100.00,EE,00
61,441210850.00,00,29
62,441236850.00,EE,00
63,491241300.00,00,29
64,491267350.00,EE,00
65,541228300.00,00,29
66,541254300.00,DC,00
67,591383050.00,00,29
68,591409050.00,DC,00
69,616351300.00,00,29
70,616377300.00,DC,00
71,625949050.00,00,29
72,625975050.00,DC,00
73,635532300.00,00,29
74,635558300.00,DC,00
75,645037550.00,00,29
76,645063550.00,DC,00
77,654507050.00,00,29
78,654533050.00,DC,00
79,664059800.00,00,29
80,664085800.00,DC,00
81,673587800.00,00,29
82,673613800.00,FE,00
83,683129550.00,00,29
84,683155550.00,FE,00
85,692726300.00,00,29
86,692752300.00,EE,00
87,702254300.00,00,29
88,702280300.00,EE,00
89,711782300.00,00,29
90,711808300.00,EE,00
91,721310300.00,00,29
92,721336300.00,EE,00
93,730838300.00,00,29
94,730864300.00,EE,00
